cycle,state,modeldate,candidate_name,pct_estimate
1988,North Dakota,1988-11-08,Michael S. Dukakis,37.267997
1988,Ohio,1988-11-08,George Bush,49.438407
1988,Ohio,1988-11-08,Michael S. Dukakis,41.268361
1988,Oklahoma,1988-11-08,George Bush,55.412845
1988,Oklahoma,1988-11-08,Michael S. Dukakis,38.603252
1988,Oregon,1988-11-08,George Bush,47.40057
1988,Oregon,1988-11-08,Michael S. Dukakis,48.474516
1988,Pennsylvania,1988-11-08,George Bush,48.369381
1988,Pennsylvania,1988-11-08,Michael S. Dukakis,44.803587
1988,Rhode Island,1988-11-08,George Bush,36.7557
1988,Rhode Island,1988-11-08,Michael S. Dukakis,46.607574
1988,South Carolina,1988-11-08,George Bush,54.00521
1988,South Carolina,1988-11-08,Michael S. Dukakis,39.120127
1988,South Dakota,1988-11-08,George Bush,45.16703
1988,South Dakota,1988-11-08,Michael S. Dukakis,40.672295
1988,Tennessee,1988-11-08,George Bush,50.956422
1988,Tennessee,1988-11-08,Michael S. Dukakis,39.917801
1988,Texas,1988-11-08,George Bush,52.101053
1988,Texas,1988-11-08,Michael S. Dukakis,42.587829
1988,Utah,1988-11-08,George Bush,64.836804
1988,Utah,1988-11-08,Michael S. Dukakis,31.227522
1988,Vermont,1988-11-08,George Bush,42.142013
1988,Vermont,1988-11-08,Michael S. Dukakis,41.675536
1988,Virginia,1988-11-08,George Bush,52.139964
1988,Virginia,1988-11-08,Michael S. Dukakis,39.417478
1988,Washington,1988-11-08,George Bush,47.266732
1988,Washington,1988-11-08,Michael S. Dukakis,42.971394
1988,West Virginia,1988-11-08,George Bush,35.042841
1988,West Virginia,1988-11-08,Michael S. Dukakis,43.680941
1988,Wisconsin,1988-11-08,George Bush,46.612954
1988,Wisconsin,1988-11-08,Michael S. Dukakis,44.869765
1988,Wyoming,1988-11-08,George Bush,56.444583
1988,Wyoming,1988-11-08,Michael S. Dukakis,27.823913
1992,Alabama,1992-11-03,Bill Clinton,40.180882
1992,Alabama,1992-11-03,George Bush,41.636747
1992,Alabama,1992-11-03,H. Ross Perot,11.078683
1992,Alaska,1992-11-03,Bill Clinton,33.656677
1992,Alaska,1992-11-03,George Bush,33.114877
1992,Alaska,1992-11-03,H. Ross Perot,27.163184
1992,Arizona,1992-11-03,Bill Clinton,33.570066
1992,Arizona,1992-11-03,George Bush,33.726051
1992,Arizona,1992-11-03,H. Ross Perot,19.173324
1992,Arkansas,1992-11-03,Bill Clinton,52.054279
1992,Arkansas,1992-11-03,George Bush,34.209791
1992,Arkansas,1992-11-03,H. Ross Perot,12.094245
1992,California,1992-11-03,Bill Clinton,48.764566
1992,California,1992-11-03,George Bush,31.614049
1992,California,1992-11-03,H. Ross Perot,14.479459
1992,Colorado,1992-11-03,Bill Clinton,39.511654
