year,state,proportion_democrat_president,resident_population,percent_change_resident_population,resident_population_density,resident_population_density_rank,republican_candidate,democratic_candidate,democratic_candidate_normalized,republican_candidate_normalized,pct_dem_in_polls,dem_prop_4_years_prior,dem_prop_8_years_prior,dem_prop_12_years_prior
1984,ILLINOIS,0.4352674669277925,11426518.0,2.8,205.8,12.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.39675961,0.4566033761788903,0.4899716625636061,0.39675961
1984,INDIANA,0.3792657087831628,5490224.0,5.7,153.2,15.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.36119087,0.36119087,0.4615122219230517,0.36119087
1984,IOWA,0.4627617466997986,2913808.0,3.2,52.2,34.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.39460832,0.4293684972879164,0.4948383414684765,0.39460832
1984,KANSAS,0.3297052288843034,2363679.0,5.2,28.9,39.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.28888068,0.3652451056147966,0.4612445923746186,0.28888068
1984,KENTUCKY,0.3963581761054802,3660777.0,13.7,92.7,25.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.33065294,0.33065294,0.33065294,0.33065294
1984,MARYLAND,0.4724247280785537,4216975.0,7.5,434.4,7.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.36,0.516191380662185,0.5303541992343639,0.36
1984,MASSACHUSETTS,0.4860166976274062,5737037.0,0.8,735.5,5.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.44119005,0.4990932698314367,0.5811462217110593,0.44119005
1984,MINNESOTA,0.5009089076819495,4075970.0,7.1,51.2,35.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.46088834,0.5221361455718679,0.566419819719711,0.46088834
1984,MISSOURI,0.3997524933212296,4916686.0,5.1,71.5,29.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.37749237,0.4643458565855658,0.5184190712575877,0.37749237
1984,NEBRASKA,0.28995246326707,1569825.0,5.8,20.4,43.0,"REAGAN, RONALD","MONDALE, WALTER",WALTER MONDALE,RONALD REAGAN,0.26931731,0.2841755487178086,0.3937354855260315,0.26931731
