cycle,state,modeldate,candidate_name,pct_estimate,candidate_name_normalized
1988,California,1988-11-08,George Bush,50.917622,GEORGE BUSH
1988,California,1988-11-08,Michael S. Dukakis,42.883798,MICHAEL DUKAKIS
1988,Colorado,1988-11-08,George Bush,45.44891,GEORGE BUSH
1988,Colorado,1988-11-08,Michael S. Dukakis,41.952605,MICHAEL DUKAKIS
1988,Connecticut,1988-11-08,George Bush,41.128338,GEORGE BUSH
1988,Connecticut,1988-11-08,Michael S. Dukakis,40.7113,MICHAEL DUKAKIS
1988,Delaware,1988-11-08,George Bush,49.022541,GEORGE BUSH
1988,Delaware,1988-11-08,Michael S. Dukakis,34.832296,MICHAEL DUKAKIS
1988,Florida,1988-11-08,George Bush,57.550702,GEORGE BUSH
1988,Florida,1988-11-08,Michael S. Dukakis,35.808301,MICHAEL DUKAKIS
1988,Georgia,1988-11-08,George Bush,50.869978,GEORGE BUSH
1988,Georgia,1988-11-08,Michael S. Dukakis,38.949382,MICHAEL DUKAKIS
1988,Hawaii,1988-11-08,George Bush,34.023868,GEORGE BUSH
1988,Hawaii,1988-11-08,Michael S. Dukakis,41.675536,MICHAEL DUKAKIS
1988,Illinois,1988-11-08,George Bush,46.642244,GEORGE BUSH
1988,Illinois,1988-11-08,Michael S. Dukakis,45.433824,MICHAEL DUKAKIS
1988,Indiana,1988-11-08,George Bush,51.175531,GEORGE BUSH
1988,Indiana,1988-11-08,Michael S. Dukakis,37.372362,MICHAEL DUKAKIS
1988,Iowa,1988-11-08,George Bush,37.769242,GEORGE BUSH
1988,Iowa,1988-11-08,Michael S. Dukakis,51.348629,MICHAEL DUKAKIS
1988,Kansas,1988-11-08,George Bush,42.609085,GEORGE BUSH
1988,Kansas,1988-11-08,Michael S. Dukakis,34.883109,MICHAEL DUKAKIS
1988,Kentucky,1988-11-08,George Bush,47.317148,GEORGE BUSH
1988,Kentucky,1988-11-08,Michael S. Dukakis,41.791197,MICHAEL DUKAKIS
1988,Louisiana,1988-11-08,George Bush,48.347103,GEORGE BUSH
1988,Louisiana,1988-11-08,Michael S. Dukakis,39.623911,MICHAEL DUKAKIS
1988,Maine,1988-11-08,George Bush,45.982796,GEORGE BUSH
1988,Maine,1988-11-08,Michael S. Dukakis,42.126039,MICHAEL DUKAKIS
1988,Maryland,1988-11-08,George Bush,46.587844,GEORGE BUSH
1988,Maryland,1988-11-08,Michael S. Dukakis,45.944472,MICHAEL DUKAKIS
1988,Massachusetts,1988-11-08,George Bush,41.684623,GEORGE BUSH
